Facility Name,Starting Animal Statistics - In Shelter Count as of 1/1/2019 - Dogs-Adult,Starting Animal Statistics - In Shelter Count as of 1/1/2019 - Dogs-Juvenile,Starting Animal Statistics - In Shelter Count as of 1/1/2019 - Cats-Adult,Starting Animal Statistics - In Shelter Count as of 1/1/2019 - Cats-Juvenile,Starting Animal Statistics - In Shelter Count as of 1/1/2019 - Birds,Starting Animal Statistics - In Foster Care Count as 1/1/2019 - Dogs-Adult,Starting Animal Statistics - In Foster Care Count as 1/1/2019 - Dogs-Juvenile,Starting Animal Statistics - In Foster Care Count as 1/1/2019 - Cats-Adult,Starting Animal Statistics - In Foster Care Count as 1/1/2019 - Cats-Juvenile,Animal Intake Statistics - Stray - Dogs-Adult,Animal Intake Statistics - Stray - Dogs-Juvenile,Animal Intake Statistics - Stray - Cats-Adult,Animal Intake Statistics - Stray - Cats-Juvenile,Animal Intake Statistics - Owner Relinquished - Dogs-Adult,Animal Intake Statistics - Owner Relinquished - Dogs-Juvenile,Animal Intake Statistics - Owner Relinquished - Cats-Adult,Animal Intake Statistics - Owner Relinquished - Cats-Juvenile,Animal Intake Statistics - Transfer In from a Colorado Organization - Dogs-Adult,Animal Intake Statistics - Transfer In from a Colorado Organization - Dogs-Juvenile,Animal Intake Statistics - Transfer In from a Colorado Organization - Cats-Adult,Animal Intake Statistics - Transfer In from a Colorado Organization - Cats-Juvenile,Animal Intake Statistics - Transfer In from an Out of State Organization - Dogs-Adult,Animal Intake Statistics - Transfer In from an Out of State Organization - Dogs-Juvenile,Animal Intake Statistics - Transfer In from an Out of State Organization - Cats-Adult,Animal Intake Statistics - Transfer In from an Out of State Organization - Cats-Juvenile,"Animal Intake Statistics - Other; TNR/Protective Custody/Returns/Disaster Relief, etc. - Dogs-Adult","Animal Intake Statistics - Other; TNR/Protective Custody/Returns/Disaster Relief, etc. - Dogs-Juvenile","Animal Intake Statistics - Other; TNR/Protective Custody/Returns/Disaster Relief, etc. - Cats-Adult","Animal Intake Statistics - Other; TNR/Protective Custody/Returns/Disaster Relief, etc. - Cats-Juvenile",Animal Outcome Statistics - Adoption - Dogs-Adult,Animal Outcome Statistics - Adoption - Dogs-Juvenile,Animal Outcome Statistics - Adoption - Cats-Adult,Animal Outcome Statistics - Adoption - Cats-Juvenile,Animal Outcome Statistics - Return to Owner - Dogs-Adult,Animal Outcome Statistics - Return to Owner - Dogs-Juvenile,Animal Outcome Statistics - Return to Owner - Cats-Adult,Animal Outcome Statistics - Return to Owner - Cats-Juvenile,Animal Outcome Statistics - Transfer Out to a Colorado Organization - Dogs-Adult,Animal Outcome Statistics - Transfer Out to a Colorado Organization - Dogs-Juvenile,Animal Outcome Statistics - Transfer Out to a Colorado Organization - Cats-Adult,Animal Outcome Statistics - Transfer Out to a Colorado Organization - Cats-Juvenile,Animal Outcome Statistics - Transfer Out to an Out of State Organization - Dogs-Adult,Animal Outcome Statistics - Transfer Out to an Out of State Organization - Dogs-Juvenile,Animal Outcome Statistics - Transfer Out to an Out of State Organization - Cats-Adult,Animal Outcome Statistics - Transfer Out to an Out of State Organization - Cats-Juvenile,Animal Outcome Statistics - Other Live Outcomes - Dogs-Adult,Animal Outcome Statistics - Other Live Outcomes - Dogs-Juvenile,Animal Outcome Statistics - Other Live Outcomes - Cats-Adult,Animal Outcome Statistics - Other Live Outcomes - Cats-Juvenile,Ending Animal Statistics - In Shelter Count as of 12/31/2019 - Dogs-Adult,Ending Animal Statistics - In Shelter Count as of 12/31/2019 - Dogs-Juvenile,Ending Animal Statistics - In Shelter Count as of 12/31/2019 - Cats-Adult,Ending Animal Statistics - In Shelter Count as of 12/31/2019 - Cats-Juvenile,
Homeward Bound Rescue of Colorado,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,
Hope For Animals-Clear Creek Rescue,0,0,0,0,0,18,8,0,0,0,0,0,0,2,0,0,0,3,0,0,0,2,7,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Humane Society of Boulder Valley,45,30,33,1,0,5,2,3,15,686,38,349,251,678,34,516,171,211,37,165,259,749,834,185,202,365,67,103,24,1720,1001,989,859,660,11,184,5,20,4,3,0,10,0,1,0,73,2,20,0,51,16,0,0,
Humane Society of Fremont County,50,3,65,9,0,0,0,0,0,267,37,144,107,178,19,117,34,33,0,14,9,0,10,0,0,353,12,31,7,255,38,172,82,461,12,13,2,139,26,158,49,0,0,0,0,0,0,0,0,16,5,10,9,
Humane Society Of Moab Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Humane Society of Pagosa Springs,12,4,22,3,0,0,0,0,0,216,42,65,49,45,29,11,19,9,15,0,0,18,15,5,0,39,4,28,20,100,58,70,69,178,9,12,0,41,22,19,3,0,0,0,0,0,0,3,0,18,20,21,17,
Humane Society of the Pikes Peak Region,133,18,137,5,0,1,52,1,24,4245,199,2434,1064,1601,174,1487,770,567,313,97,327,983,635,0,0,858,123,1362,132,4321,1392,2615,1613,3004,53,402,19,141,16,244,291,6,0,0,0,0,0,1316,78,136,12,121,10,
Humane Society of the Pikes Peak Region - Pueblo,0,0,0,0,0,0,0,0,0,1342,80,503,699,353,84,297,207,8,11,18,18,6,12,0,0,108,9,316,83,465,78,318,198,849,29,46,1,257,68,197,540,2,0,0,1,0,0,347,93,77,2,39,14,
"Humane Society of the South Platte Valley, Inc.",50,8,35,7,0,6,1,1,4,346,13,78,57,136,16,75,31,49,10,5,31,331,89,65,62,48,1,4,18,628,131,167,191,265,5,29,1,20,0,14,4,8,0,1,0,0,0,9,0,22,1,30,5,
Humane Society of Weld County,69,11,75,22,0,2,9,1,9,421,25,352,385,192,30,95,15,3,8,0,0,75,79,0,0,1292,29,236,128,982,150,531,342,969,21,31,5,44,1,32,107,0,0,0,0,0,0,1,0,32,0,14,0,
Hutchinson Animal Shelter,24,8,25,16,0,1,1,0,6,502,228,318,555,195,61,146,235,0,0,0,0,12,5,0,0,47,21,15,12,262,164,222,283,323,81,22,14,16,11,20,13,70,35,23,83,0,0,0,0,14,2,17,15,
Indigo Mountain Nature Center,43,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,3,0,
Innocent Paws Puppy Rescue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,16,114,0,0,0,26,0,0,12,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"International Hearing Dog, Inc",24,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,11,0,1,0,1,0,0,0,21,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,19,0,0,0,22,0,4,0,
Intuitive Dog Training LLC,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iResQ,0,0,0,0,0,3,5,1,0,0,0,0,0,6,21,0,0,13,89,0,0,61,252,7,16,0,0,0,0,66,346,4,16,0,0,0,0,10,17,3,0,0,0,0,0,2,0,0,0,0,0,0,0,
Izzy's Place Senior Dog Rescue ,0,0,0,0,0,4,0,0,0,0,0,0,0,18,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jailbreak Husky Rescue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jemez Valley Animal Amigos,0,0,0,0,0,2,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,
JJ's Helping Paws,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,122,292,0,0,0,0,0,0,0,0,0,0,0,20,0,0,11,3,0,0,2,0,0,0,101,286,0,0,0,0,0,0,0,0,0,0,0,0,
Josephine Tullio dba The Tullios,8,0,23,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,21,0,
Katmandu Paonia,0,0,11,0,0,0,0,0,0,0,0,9,50,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,
Kristen Schnobrich dba Rocky Mtn German Shorthaired Pointer Rescue,6,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,3,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,
L.O.L.A.'S Rescue,0,0,0,0,0,19,18,4,14,0,0,0,0,41,11,12,24,8,0,4,9,135,166,71,309,0,37,0,0,165,184,72,329,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
La Plata County Humane Society,40,4,27,3,0,0,7,0,7,574,68,252,365,285,113,212,207,95,64,27,42,37,44,4,7,23,0,109,4,515,262,421,516,420,10,46,1,16,3,1,0,0,0,0,0,10,10,88,15,51,1,21,36,
Lamar Animal Shelter,10,4,0,0,0,0,0,0,0,291,63,0,0,65,23,0,0,8,2,0,0,0,0,0,0,12,1,0,0,89,34,0,0,226,17,0,0,54,40,0,0,0,0,0,0,0,0,0,0,10,0,0,0,
Larimer Humane Society,27,3,98,18,0,6,17,7,27,1287,39,959,338,735,37,653,195,73,58,14,22,121,99,103,79,302,19,108,70,712,229,1161,498,1064,8,239,4,71,2,118,33,3,0,0,0,216,4,52,27,34,9,91,30,
Life is Better Rescue,0,0,9,0,0,2,2,18,1,0,0,0,1,5,0,3,3,19,9,11,84,44,95,143,128,0,0,0,0,62,95,164,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,
Lifeline Pet Rescue,2,21,0,0,0,7,14,0,0,0,0,0,0,2,6,0,0,9,155,0,0,144,1558,0,0,0,0,0,0,156,1672,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,42,0,0,
Lisa Haas dba Western Australian Shepherd Rescue,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,38,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lisa Parker's Puppies,0,0,0,0,0,4,0,0,0,0,0,0,0,6,18,0,0,0,0,0,0,22,95,0,0,0,1,0,0,24,67,0,0,0,0,0,0,5,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Little Rescue on the Prairie,0,0,25,10,0,2,0,0,0,2,0,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,2,0,0,0,0,0,0,18,8,0,0,0,0,0,0,0,0,0,0,17,8,
Logan County Humane Society,13,1,15,0,0,0,1,2,6,212,14,51,88,42,0,26,33,0,0,0,0,0,0,0,0,39,6,9,0,43,7,12,20,154,7,10,2,84,3,48,73,0,0,0,0,0,0,0,0,12,0,13,4,
Loma Cat House,0,0,52,0,0,0,0,0,0,0,0,75,153,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,37,0,0,1,0,0,0,0,5,0,0,0,0,0,0,52,77,0,0,67,16,
Longmont Friends of Feral & Abandoned Cats,0,0,0,0,0,0,0,21,0,0,0,0,2,0,0,2,6,0,0,3,6,0,0,0,0,0,0,177,72,0,0,9,5,0,0,5,0,0,0,7,62,0,0,0,0,0,0,163,0,0,0,0,0,
Longmont Humane Society,97,0,42,5,1,8,0,16,10,916,29,431,367,379,13,286,45,117,14,128,86,362,120,95,100,154,10,21,0,1129,163,783,552,649,7,86,1,18,7,10,11,12,0,0,0,62,1,21,0,102,0,63,14,
"Lost Our Home Pet Rescue of Western Colorado, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,2,11,0,0,1,1,0,4,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Low Riders of the West,0,0,0,0,0,10,6,0,0,0,0,0,0,4,0,0,0,11,0,0,0,189,138,0,0,0,0,0,0,203,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lucille's Voice Animal Education and Emergency Rescue Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lucky Day Animal Rescue of Colorado,0,0,0,0,0,2,0,0,0,8,1,0,0,16,1,1,1,8,1,0,0,31,38,0,0,0,0,0,0,65,41,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Majestic Canine Rescue,95,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,
MaxFund Inc Cat Shelter,0,0,185,50,0,0,0,12,2,0,0,120,158,0,0,266,76,0,0,23,0,0,0,5,8,0,0,51,1,0,0,441,100,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,100,
MaxFund Inc Dog Shelter,55,32,0,0,0,10,2,0,0,63,15,0,0,154,50,0,0,64,59,0,0,88,66,0,0,60,4,0,0,405,192,0,0,17,0,0,0,1,0,0,0,0,0,0,0,18,1,0,0,53,8,0,0,
McKinley County Humane Society,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mesa County Animal Services,47,8,14,4,0,0,0,0,0,1013,107,108,159,321,13,18,19,0,0,0,0,0,0,0,0,0,0,0,0,165,40,30,32,711,21,10,0,336,53,52,117,0,0,0,0,0,0,0,0,35,14,5,13,
Miami Animal Alliance ,0,0,0,0,0,0,0,0,0,12,3,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MidAmerica Boston Terrier Rescue,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,9,2,0,0,2,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,
"Mile High Canine Rescue, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,7,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mile High Dachshunds Rescue,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mile High German Shorthaired Pointer Rescue,9,0,0,0,0,0,0,0,0,2,0,0,0,14,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mile High Labrador Retriever Mission,0,0,0,0,0,39,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,195,0,0,0,0,0,0,309,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,
Moms and Mutts Colorado Rescue,0,0,0,0,0,19,82,0,0,0,0,0,0,5,45,0,0,0,10,0,0,107,1914,0,0,0,0,0,0,108,1991,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mother Gaia Animal Rescue,0,0,0,0,0,10,1,4,5,0,0,0,4,2,1,9,9,2,0,2,0,48,27,37,53,0,0,0,0,59,27,42,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mountain High Collie & Sheltie Rescue,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mountain High Service Dogs Inc,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mountain Pet Rescue,0,0,0,0,0,20,9,0,0,0,0,0,0,10,3,0,0,5,0,0,0,102,114,0,0,6,0,0,0,131,120,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
My Fairy Dawg Mother Rescue,0,0,0,0,0,9,6,0,0,0,0,0,0,14,17,0,0,7,1,0,0,55,14,0,0,0,0,0,0,73,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
My Second Home Rescue,0,0,0,0,0,5,0,0,0,0,0,0,0,10,5,0,0,2,0,0,0,46,24,0,0,0,0,0,0,61,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Natalia Kelley dba Colorado Animal Care Foundation - CACF,0,0,0,0,0,7,14,0,0,0,0,0,0,126,318,0,0,0,0,0,0,0,4,0,0,0,0,0,0,114,309,0,0,0,0,0,0,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
National Mill Dog Rescue,194,8,0,0,0,27,5,0,0,3,3,0,0,21,0,0,0,14,13,0,0,863,72,0,0,52,11,0,0,705,48,0,0,0,0,0,0,170,31,0,0,181,12,0,0,0,0,0,0,95,20,0,0,
Nebraska Humane Society,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
New Hope Cattle Dogs Rescue & Rehoming,0,0,0,0,0,10,4,0,0,0,0,0,0,4,1,0,0,4,0,0,0,266,50,0,0,0,59,0,0,275,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
New Hope Rescue Inc.,0,0,0,0,0,26,5,15,2,0,0,0,0,0,0,0,0,0,0,0,0,181,93,60,50,0,8,0,0,194,84,64,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nikenos Second Chances,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,1,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
No Hound Unhomed,13,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,3,0,0,0,63,20,0,0,0,0,0,0,106,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,
Noah's Ark Animal Welfare Association,10,0,15,6,0,0,0,0,0,304,99,71,135,97,113,55,104,0,0,0,0,41,37,0,0,210,147,110,44,135,100,127,200,230,26,10,0,120,96,15,12,0,0,0,0,150,135,95,36,12,24,11,9,
Obe's Angels Rescue,0,0,0,0,0,4,8,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oh Be Dogful Pet Ranch Inc. dba Oh Be Dogful Rescue,15,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,1,9,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,0,0,
Once Upon A Dog,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,21,28,27,41,0,0,0,0,23,28,9,9,0,0,0,0,0,0,27,19,0,0,0,0,0,0,0,0,0,0,0,0,
One Dog at a Time,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Opposable Thumb Marekting LLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OutPaws,0,0,0,0,0,18,1,4,0,0,0,0,0,2,0,3,0,20,3,0,0,7,0,11,3,0,0,0,0,42,4,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Painted Paws for Veterans,77,18,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,9,0,0,0,11,8,0,0,4,15,0,0,8,21,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,84,12,0,0,
Pals forever Animal Rescue,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pampa Animal Welfare Society,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Paradise Animal Welfare Society,1,0,0,0,0,0,0,1,0,43,0,3,8,0,6,1,0,3,0,0,0,10,0,0,0,0,0,0,0,14,6,1,3,41,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Paws and Effect Canine Rescue of CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,24,135,0,0,0,0,0,0,20,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,
Paws and People ,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,23,22,0,0,0,0,0,0,29,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Paws For Life Animal Welfare and Protection Society,28,0,24,0,0,0,0,0,0,15,10,6,5,59,10,32,9,56,2,17,30,0,0,0,0,4,0,2,2,115,12,42,42,6,2,0,0,9,8,3,4,0,0,0,0,0,0,0,0,31,0,27,6,
Paws N Hooves & Black Forest Animal Sanctuary BFAS,0,0,0,0,0,25,6,0,0,0,0,0,0,14,5,0,0,0,0,0,0,91,160,0,0,0,0,0,0,160,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Paws on the Ground Colorado ,0,0,0,0,0,30,32,0,0,0,0,0,0,0,0,0,0,19,4,0,0,136,265,0,0,0,0,0,0,152,262,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PawsCo,0,0,0,0,0,13,1,4,3,0,0,0,3,1,7,2,0,56,10,58,55,2,0,8,26,0,0,0,0,59,17,55,73,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pawsecond chance rescue,0,0,0,0,0,1,0,0,0,0,2,2,17,6,7,0,4,11,1,1,0,0,0,0,0,0,0,0,0,10,8,2,5,0,0,0,0,6,2,0,0,0,0,0,11,0,0,0,2,0,0,0,0,
PAWSitive Reaction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pawsitive Restorations Animal Rescue,0,0,0,0,0,3,0,0,0,0,0,0,0,12,4,0,5,2,12,0,0,33,94,0,0,0,35,0,0,45,115,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Peaceful Animal Adoption Shelter dba PAAS,608,476,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Peak View Animal Hospital ,0,0,0,0,0,0,0,0,0,20,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Peanut's Place Bully Rescue,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,
Pearl's Sunrize Sanctuary,4,0,23,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,17,0,
Pembroke Welsh Corgi of the Rockes Rescue,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Pet Association of Estes Park, Inc.",3,0,2,0,0,2,0,0,0,2,0,4,0,16,5,11,3,3,0,4,0,11,4,22,6,0,9,0,0,34,14,40,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,
Pet Care Specialties LLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
