Facility Name,Starting Animal Statistics - In Shelter Count as of 1/1/2019 - Dogs-Adult,Starting Animal Statistics - In Shelter Count as of 1/1/2019 - Dogs-Juvenile,Starting Animal Statistics - In Shelter Count as of 1/1/2019 - Cats-Adult,Starting Animal Statistics - In Shelter Count as of 1/1/2019 - Cats-Juvenile,Starting Animal Statistics - In Shelter Count as of 1/1/2019 - Birds,Starting Animal Statistics - In Foster Care Count as 1/1/2019 - Dogs-Adult,Starting Animal Statistics - In Foster Care Count as 1/1/2019 - Dogs-Juvenile,Starting Animal Statistics - In Foster Care Count as 1/1/2019 - Cats-Adult,Starting Animal Statistics - In Foster Care Count as 1/1/2019 - Cats-Juvenile,Animal Intake Statistics - Stray - Dogs-Adult,Animal Intake Statistics - Stray - Dogs-Juvenile,Animal Intake Statistics - Stray - Cats-Adult,Animal Intake Statistics - Stray - Cats-Juvenile,Animal Intake Statistics - Owner Relinquished - Dogs-Adult,Animal Intake Statistics - Owner Relinquished - Dogs-Juvenile,Animal Intake Statistics - Owner Relinquished - Cats-Adult,Animal Intake Statistics - Owner Relinquished - Cats-Juvenile,Animal Intake Statistics - Transfer In from a Colorado Organization - Dogs-Adult,Animal Intake Statistics - Transfer In from a Colorado Organization - Dogs-Juvenile,Animal Intake Statistics - Transfer In from a Colorado Organization - Cats-Adult,Animal Intake Statistics - Transfer In from a Colorado Organization - Cats-Juvenile,Animal Intake Statistics - Transfer In from an Out of State Organization - Dogs-Adult,Animal Intake Statistics - Transfer In from an Out of State Organization - Dogs-Juvenile,Animal Intake Statistics - Transfer In from an Out of State Organization - Cats-Adult,Animal Intake Statistics - Transfer In from an Out of State Organization - Cats-Juvenile,"Animal Intake Statistics - Other; TNR/Protective Custody/Returns/Disaster Relief, etc. - Dogs-Adult","Animal Intake Statistics - Other; TNR/Protective Custody/Returns/Disaster Relief, etc. - Dogs-Juvenile","Animal Intake Statistics - Other; TNR/Protective Custody/Returns/Disaster Relief, etc. - Cats-Adult","Animal Intake Statistics - Other; TNR/Protective Custody/Returns/Disaster Relief, etc. - Cats-Juvenile",Animal Outcome Statistics - Adoption - Dogs-Adult,Animal Outcome Statistics - Adoption - Dogs-Juvenile,Animal Outcome Statistics - Adoption - Cats-Adult,Animal Outcome Statistics - Adoption - Cats-Juvenile,Animal Outcome Statistics - Return to Owner - Dogs-Adult,Animal Outcome Statistics - Return to Owner - Dogs-Juvenile,Animal Outcome Statistics - Return to Owner - Cats-Adult,Animal Outcome Statistics - Return to Owner - Cats-Juvenile,Animal Outcome Statistics - Transfer Out to a Colorado Organization - Dogs-Adult,Animal Outcome Statistics - Transfer Out to a Colorado Organization - Dogs-Juvenile,Animal Outcome Statistics - Transfer Out to a Colorado Organization - Cats-Adult,Animal Outcome Statistics - Transfer Out to a Colorado Organization - Cats-Juvenile,Animal Outcome Statistics - Transfer Out to an Out of State Organization - Dogs-Adult,Animal Outcome Statistics - Transfer Out to an Out of State Organization - Dogs-Juvenile,Animal Outcome Statistics - Transfer Out to an Out of State Organization - Cats-Adult,Animal Outcome Statistics - Transfer Out to an Out of State Organization - Cats-Juvenile,Animal Outcome Statistics - Other Live Outcomes - Dogs-Adult,Animal Outcome Statistics - Other Live Outcomes - Dogs-Juvenile,Animal Outcome Statistics - Other Live Outcomes - Cats-Adult,Animal Outcome Statistics - Other Live Outcomes - Cats-Juvenile,Ending Animal Statistics - In Shelter Count as of 12/31/2019 - Dogs-Adult,Ending Animal Statistics - In Shelter Count as of 12/31/2019 - Dogs-Juvenile,Ending Animal Statistics - In Shelter Count as of 12/31/2019 - Cats-Adult,Ending Animal Statistics - In Shelter Count as of 12/31/2019 - Cats-Juvenile,
Pet project,0,0,10,0,0,0,0,4,19,0,0,0,0,0,0,0,0,0,0,5,46,0,0,0,0,0,0,157,93,0,0,0,0,0,0,142,48,0,0,16,86,0,0,0,0,0,0,5,0,0,0,9,3,
Pets First Animal Hospital,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
PetSmart-Aurora Animal Shelter,19,0,8,0,0,0,0,2,0,239,7,55,54,78,6,32,8,24,9,13,1,0,0,3,0,20,5,15,5,368,27,122,68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,6,0,
Planned Pethood International,45,23,16,39,0,0,0,0,0,4,2,3,16,30,21,16,22,8,1,0,0,4,1,0,0,0,0,0,1,43,24,16,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,
Platteville Police Department,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pointerrescue,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Polaris Alaskan Malamute Rescue,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,0,0,0,6,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,
Prison Trained K9 Companion Program - Denver,32,0,0,0,0,0,0,0,0,0,0,0,0,33,14,0,0,73,0,0,0,71,0,0,0,1,0,0,0,169,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,
PTSD/TBI Dogs and Tags of Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Puppy Kisses Ranch,25,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Purrendipity ,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,6,7,0,0,27,18,0,0,126,68,0,0,2,0,0,0,148,79,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
Red Hill Animal Health Center,0,0,0,0,0,0,0,0,0,68,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,65,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rescued Pets Movement Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Retriever Rescue of Colorado,0,0,0,0,0,30,16,0,0,0,0,0,0,8,0,0,0,4,4,0,0,67,21,0,0,6,18,0,0,82,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8,0,0,
Rezdawg Rescue,0,0,0,0,0,30,47,59,10,1,0,10,25,2,4,7,6,0,0,0,0,146,295,322,344,0,0,0,0,155,342,360,333,0,0,0,0,12,7,20,38,0,0,0,0,0,0,0,0,0,0,0,0,
Rocky Ford Police Department,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Rocky Mountain Cocker Rescue, Inc.  (RMCR)",0,0,0,0,0,39,1,0,0,0,1,0,0,52,0,0,0,22,0,0,0,35,3,0,0,4,6,0,0,90,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Rocky Mountain Feline Rescue,0,0,0,0,0,0,0,90,98,0,0,53,215,0,0,56,158,0,0,25,23,0,0,519,2176,0,0,16,0,0,0,677,2465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,
Rocky Mountain French Bulldog Rescue,0,0,0,0,0,2,0,0,0,0,0,0,0,61,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Rocky Mountain Great Dane Rescue, Inc.",0,0,0,0,0,8,3,0,0,0,0,0,0,40,0,0,0,6,0,0,0,4,0,0,0,0,12,0,0,35,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,
Rocky Mountain Lab Rescue,0,0,0,0,0,16,2,0,0,0,0,0,0,5,0,0,0,5,2,0,0,79,27,0,0,15,0,0,0,115,30,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
Rocky Mountain Puppy Rescue,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,55,639,22,56,0,0,0,0,56,649,21,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rocky Mountain Scottie Rescue Inc,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rocky Mountain Yorkie Rescue,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,
"Rocky Mountian Collie and Sheltie Rescue, Inc.",0,0,0,0,0,14,0,0,0,0,0,0,0,28,9,0,0,11,2,0,0,11,0,0,0,0,0,0,0,48,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Roice-Hurst Humane Society,10,0,35,12,0,2,2,1,8,0,0,16,63,140,4,140,300,151,54,4,39,67,5,0,0,0,0,0,0,323,58,162,338,0,0,1,0,24,0,5,7,1,0,0,0,0,0,0,0,17,1,27,8,
Rottie Aid ,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Routt County Humane Society,11,0,31,0,0,0,0,0,0,183,13,96,89,32,19,47,17,23,6,1,0,11,40,0,0,9,0,6,2,82,70,129,83,164,8,35,0,5,0,7,5,1,0,0,0,2,0,6,1,6,2,20,1,
Running Dog Ranch,16,0,0,0,0,0,0,0,0,5,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,16,0,0,0,
Safe Harbor Lab Rescue,0,0,0,0,0,28,0,0,0,0,0,0,0,57,1,0,0,29,0,0,0,156,13,0,0,0,0,0,0,238,13,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Safe Place for Pets,0,0,0,0,0,0,0,11,0,0,0,0,0,15,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,
San Luis Valley Animal Welfare Society,36,7,0,0,0,0,0,0,0,12,1,0,0,42,88,0,0,51,22,0,0,0,0,0,0,6,2,0,0,90,106,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,46,8,0,0,
San Nicola Dog Rescue,13,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,1,0,0,0,53,0,0,0,0,0,0,0,45,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,
Save the Giants,0,0,0,0,0,21,0,0,0,1,0,0,0,7,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Saving Dobermankind Animal Rescue,0,0,0,0,0,8,3,0,0,0,0,0,0,8,0,0,0,6,1,0,0,16,13,0,0,0,0,0,0,29,51,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,
"Scroungy Dogs and Pretty Pups Rescue, Inc.",0,0,0,0,0,3,1,0,0,0,0,0,0,5,0,0,0,6,3,0,0,122,72,0,0,0,0,0,0,130,75,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Second Chance Animal Rescue Foundation,0,0,0,0,0,2,5,0,0,0,0,0,0,14,27,13,38,13,13,0,1,5,5,0,0,2,0,0,1,25,41,2,8,2,0,0,0,7,3,11,32,1,0,0,0,0,0,0,0,0,0,0,0,
Second Chance Humane Society ,14,0,26,0,0,0,0,0,0,82,33,59,55,36,15,21,29,60,8,4,4,3,6,0,0,0,0,4,0,138,52,89,65,39,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,17,17,
"Second Chance Jack Animal Rescue, Inc",0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Sloppy Kisses Animal Rescue,0,0,0,0,0,18,18,2,10,0,0,0,0,16,13,4,7,1,0,0,0,241,190,0,81,0,11,0,0,259,223,2,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Small Senior Paws Retirement Village,26,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,
Snow Capped Shepherd Rescue,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,28,6,0,0,1,0,0,0,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Soul Dog Rescue,63,6,10,12,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,614,637,547,548,532,632,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,17,11,22,
Southern Colorado Spay-Neuter Association,7,0,83,8,0,0,0,0,4,40,3,19,47,22,5,30,72,17,0,28,46,0,0,0,0,0,0,4,0,64,4,77,117,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,74,34,
Southern Mutts Rescue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Springer Spaniel Rescue Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Summit County Animal Control and Shelter,15,0,13,0,0,3,0,1,0,125,10,31,9,51,6,29,1,39,0,71,86,138,72,15,0,77,1,7,2,264,82,120,93,164,2,14,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,25,2,
Summit Dog Rescue,0,0,0,0,0,11,0,1,0,0,0,0,0,7,0,0,0,1,0,0,0,41,7,6,1,0,0,0,0,53,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sunshine Canyon Dog Rescue,0,0,0,0,0,2,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,25,0,0,3,0,0,0,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
Surface Creek Animal Shelter,5,0,5,20,0,0,0,0,0,84,12,50,133,35,14,35,4,0,0,0,0,0,0,0,0,0,0,0,0,68,20,72,116,52,2,3,0,2,0,11,4,0,0,0,0,0,0,0,0,6,0,10,25,
Taysia Blue Rescue,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,20,0,0,0,19,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Team Leo Animal Rescue,0,0,0,0,0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Teller County Regional Animal Shelter,14,0,15,0,0,1,0,1,0,334,14,22,25,69,18,44,40,7,0,47,24,117,67,29,65,0,0,0,0,226,87,132,146,295,2,8,0,2,0,1,0,0,0,0,0,0,0,0,0,14,0,15,0,
Telluride Humane Society,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"The Animal Debt Project, Inc.",28,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,7,0,0,0,192,91,0,0,0,0,0,0,54,19,0,0,1,0,0,0,1,6,0,0,141,59,0,0,0,0,0,0,39,7,0,0,
The Animal Hospital of Telluride,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Animal Interest League and Sanctuary,6,6,0,0,0,0,0,0,0,134,118,38,42,33,29,22,25,95,58,0,12,42,25,0,0,0,0,0,0,214,121,25,30,17,10,0,0,60,85,31,43,0,0,0,0,0,0,0,0,9,13,4,5,
The Feline Fix,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,169,0,0,2,135,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,19,
The Gabriel Foundation,0,0,2,0,601,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,
"The Good Dog Rescue, LLC",0,0,0,0,0,18,9,0,0,0,0,0,0,10,1,0,3,3,0,0,0,201,118,0,1,0,32,0,0,222,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Lazarus Fund,0,0,0,0,0,0,6,0,3,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Misfits Dog Rescue ,0,0,0,0,0,11,14,0,0,0,1,0,0,14,4,0,0,43,8,0,0,41,19,0,0,0,0,0,0,91,41,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Old Mutt Hut,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,
"The Sunrise Foundation, LTD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Thunder Puppy K9 Rehabilitation and Rehoming,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Toby Darwin Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,3,0,0,0,0,9,11,0,0,0,0,0,0,7,20,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tonay Stephens dba Hoof & Paw,0,0,0,0,0,2,1,1,2,20,3,5,6,16,15,1,3,0,0,0,0,0,0,0,0,10,3,2,7,20,17,4,13,18,3,3,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Town of Akron,0,0,0,0,0,0,0,0,0,22,9,8,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,21,20,7,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Town of La Veta Animal Shelter,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Town of Limon Animal Shelter,0,0,0,0,0,0,0,0,0,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,6,0,0,0,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Town of Meeker Animal Control Facility ,1,0,0,0,0,0,0,0,0,89,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Town of Naturita Animal Shelter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Town of Ordway,0,0,0,0,0,0,0,0,0,11,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,11,1,0,0,
Town of Rangely Animal Shelter,3,0,17,0,0,0,0,0,0,65,0,33,12,6,0,6,4,0,0,0,0,0,0,0,0,0,0,12,0,9,0,57,0,57,0,0,0,15,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,
Town of Springfield,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,
Town of Walden Animal Shelter,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Town of Westcliffe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
True-Blue Pet Rescue,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,20,48,0,0,1,0,0,0,28,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tumbleweed Country Kennels,0,0,0,0,0,0,0,0,0,200,6,43,3,9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,145,0,3,0,81,5,27,0,0,0,0,0,0,0,0,0,2,0,0,0,
Twice Purrfect Feline Rescue,0,0,0,0,0,0,0,39,8,0,0,0,0,0,0,0,0,0,0,19,0,0,0,30,73,0,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Underdog Animal Rescue and Rehab,60,80,0,0,0,20,40,0,0,80,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,115,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,100,170,3,6,
Underdogs,0,0,0,0,0,16,1,2,0,1,0,0,0,0,1,0,1,26,6,0,0,7,5,0,0,0,0,0,0,42,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Until They're Home,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,5,4,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Upper Rio Grande Animal Society (Conour),41,7,2,10,0,7,0,0,0,184,76,2,10,52,45,0,0,0,0,0,0,0,0,0,0,4,2,0,0,172,64,14,8,45,19,0,0,62,42,15,15,0,0,0,0,0,0,0,0,47,0,0,0,
Valley Humane League,10,0,0,0,0,0,0,0,0,305,103,0,0,256,268,0,0,18,2,0,0,0,0,0,0,0,0,0,0,143,80,0,0,117,16,0,0,305,243,0,0,305,243,0,0,0,0,0,0,10,0,0,0,
Victory Service Dogs Inc.,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Vintage Dog Rescue, Inc.",8,0,0,0,0,48,0,0,0,0,0,0,0,63,0,0,0,20,0,0,0,42,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,
W.O.L.F.,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,
Wagging Dog Rescue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Westie Rescue Network,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wet Mountain Animal Welfare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wild Blue Cats!,0,0,76,12,0,0,0,7,49,0,0,67,212,0,0,75,33,0,0,54,71,0,0,65,101,0,0,315,412,0,0,263,459,0,0,8,0,0,0,1,0,0,0,0,0,0,0,311,310,0,0,58,7,
William C Adamson,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,
Willow Run Feed and Supply,0,0,0,0,0,0,0,0,0,211,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,1,8,0,20,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wolf Wood,58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,
"X And B Pets, Inc. dba Perfect Pets",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
